#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  65
#! SET periodic_phi true
   -3.141592654 -103.042984495  -50.621484532
   -3.044928264 -107.563855451  -42.699813927
   -2.948263875 -111.255025754  -33.543716357
   -2.851599486 -114.020953204  -23.694997107
   -2.754935096 -115.842602398  -14.208130488
   -2.658270707 -116.810301296   -6.145952628
   -2.561606318 -117.095767523   -0.169430883
   -2.464941928 -116.905292673    3.714816088
   -2.368277539 -116.422361822    5.969075413
   -2.271613150 -115.779013702    7.057791067
   -2.174948760 -115.074763160    7.230660046
   -2.078284371 -114.409589150    6.154978185
   -1.981619981 -113.932895600    3.197920432
   -1.884955592 -113.846908647   -1.891125941
   -1.788291203 -114.319175922   -8.066215006
   -1.691626813 -115.346679169  -12.877214830
   -1.594962424 -116.665300113  -13.762206871
   -1.498298035 -117.819793776   -9.464359050
   -1.401633645 -118.345219241   -1.084962661
   -1.304969256 -117.957945958    9.008271087
   -1.208304867 -116.605733909   18.543455790
   -1.111640477 -114.404122321   26.563337323
   -1.014976088 -111.508012505   32.948897194
   -0.918311699 -108.064641976   37.862995125
   -0.821647309 -104.215333963   41.336580048
   -0.724982920 -100.108658372   43.207008622
   -0.628318531  -95.908991814   43.194624290
   -0.531654141  -91.808659457   41.143023880
   -0.434989752  -88.014332349   36.827676011
   -0.338325363  -84.744867070   30.274179251
   -0.241660973  -82.209257264   21.680639446
   -0.144996584  -80.584897528   11.619154322
   -0.048332195  -79.975344406    0.770966550
    0.048332195  -80.411885671   -9.921753866
    0.144996584  -81.846834018  -19.742872640
    0.241660973  -84.173449898  -28.261988603
    0.338325363  -87.247181977  -35.168093821
    0.434989752  -90.891866684  -39.965819940
    0.531654141  -94.877383091  -42.134594463
    0.628318531  -98.926733334  -41.279655263
    0.724982920 -102.739183896  -37.149578102
    0.821647309 -105.996509743  -29.835686685
    0.918311699 -108.396757274  -19.452302183
    1.014976088 -109.662228990   -6.492665148
    1.111640477 -109.582154574    8.247524683
    1.208304867 -108.029258352   23.841361294
    1.304969256 -104.962776187   39.409723644
    1.401633645 -100.429348686   53.964221243
    1.498298035  -94.596793470   66.047076675
    1.594962424  -87.787192009   73.884023235
    1.691626813  -80.478716198   76.231419569
    1.788291203  -73.227480030   72.658191206
    1.884955592  -66.592424592   63.609473954
    1.981619981  -61.074036904   49.702356182
    2.078284371  -57.104420788   31.645151447
    2.174948760  -55.033444866   10.668035097
    2.271613150  -55.058329591  -11.310177684
    2.368277539  -57.161826963  -31.886081464
    2.464941928  -61.092766145  -48.840021994
    2.561606318  -66.421122283  -60.623555500
    2.658270707  -72.622776821  -66.972564210
    2.754935096  -79.202238923  -68.544240710
    2.851599486  -85.757300771  -66.713074384
    2.948263875  -92.021017225  -62.672418066
    3.044928264  -97.822750183  -57.233728379
