#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  65
#! SET periodic_phi true
   -3.141592654   15.667383822  -50.474013480
   -3.044928264   11.162286550  -42.500022076
   -2.948263875    7.493734190  -33.264742819
   -2.851599486    4.757661370  -23.355067928
   -2.754935096    2.965837325  -13.953997929
   -2.658270707    2.010058491   -6.172080027
   -2.561606318    1.702373714   -0.606562904
   -2.464941928    1.830793993    2.893167051
   -2.368277539    2.221518704    4.921486869
   -2.271613150    2.760728405    5.986719339
   -2.174948760    3.366279181    6.289053372
   -2.078284371    3.948667223    5.392465714
   -1.981619981    4.359722183    2.606040751
   -1.884955592    4.395844402   -2.320125049
   -1.788291203    3.890952685   -8.294832167
   -1.691626813    2.853764486  -12.826918978
   -1.594962424    1.555547535  -13.378296689
   -1.498298035    0.452611987   -8.787943068
   -1.401633645    0.000000000   -0.281446393
   -1.304969256    0.461191573    9.701873984
   -1.208304867    1.866021035   18.917951155
   -1.111640477    4.083507469   26.517531431
   -1.014976088    6.955039543   32.505591436
   -0.918311699   10.339939350   37.124851355
   -0.821647309   14.108898183   40.448117698
   -0.724982920   18.128943281   42.342886731
   -0.628318531   22.254578426   42.573926951
   -0.531654141   26.315893502   41.000373222
   -0.434989752   30.126045485   37.314815864
   -0.338325363   33.471573990   31.335127367
   -0.241660973   36.124696210   22.986175587
   -0.144996584   37.866006458   12.652940497
   -0.048332195   38.541928066    1.055191299
    0.048332195   38.086929749  -10.579329668
    0.144996584   36.548234435  -21.167872175
    0.241660973   34.062880182  -30.036132811
    0.338325363   30.817054490  -36.896420099
    0.434989752   27.015285469  -41.469736627
    0.531654141   22.893921919  -43.447716461
    0.628318531   18.723263446  -42.476849382
    0.724982920   14.801428216  -38.187448942
    0.821647309   11.458099320  -30.538447562
    0.918311699    9.013287291  -19.643422172
    1.014976088    7.756257391   -6.129794412
    1.111640477    7.892534587    9.028703760
    1.208304867    9.531953046   24.827967570
    1.304969256   12.697359852   40.467841267
    1.401633645   17.337606379   55.143096145
    1.498298035   23.297765043   67.554632468
    1.594962424   30.277714396   75.935128314
    1.691626813   37.812909854   78.863393893
    1.788291203   45.338002946   75.637587669
    1.884955592   52.260515170   66.503776300
    1.981619981   58.035858389   52.063576589
    2.078284371   62.195638395   33.195127279
    2.174948760   64.373568212   11.338103086
    2.271613150   64.372836995  -11.454228271
    2.368277539   62.219927793  -32.736950854
    2.464941928   58.178587423  -50.233072270
    2.561606318   52.699386479  -62.289023267
    2.658270707   46.337677293  -68.550112824
    2.754935096   39.623450461  -69.709107673
    2.851599486   32.981744181  -67.326593568
    2.948263875   26.681722507  -62.839788826
    3.044928264   20.876481822  -57.160707617
