#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  114
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  62
#! SET periodic_psi true
   -3.141592654   -3.141592654   68.955915920   42.840690643  -16.556537010
   -3.086476993   -3.141592654   71.209155513   38.485762808  -16.349623711
   -3.031361332   -3.141592654   73.237114049   34.056074169  -16.095507311
   -2.976245672   -3.141592654   75.008166103   29.512609065  -15.825987905
   -2.921130011   -3.141592654   76.526374733   25.112789083  -15.518956478
   -2.866014351   -3.141592654   77.808901016   20.862503341  -15.288354081
   -2.810898690   -3.141592654   78.855202798   16.712669181  -15.120534230
   -2.755783029   -3.141592654   79.685760113   12.798337533  -15.052033758
   -2.700667369   -3.141592654   80.305122044    9.099796167  -15.089359463
   -2.645551708   -3.141592654   80.721157549    5.409236708  -15.215161082
   -2.590436048   -3.141592654   80.935172957    1.938008285  -15.473350719
   -2.535320387   -3.141592654   80.955411579   -1.357150758  -15.758486957
   -2.480204727   -3.141592654   80.789943885   -4.684039944  -16.170146275
   -2.425089066   -3.141592654   80.445473832   -7.681987252  -16.643715534
   -2.369973405   -3.141592654   79.940379998  -10.371279380  -17.137596516
   -2.314857745   -3.141592654   79.318789024  -12.459598254  -17.602062404
   -2.259742084   -3.141592654   78.591707238  -13.719729761  -18.033089588
   -2.204626424   -3.141592654   77.821413089  -14.256008884  -18.463099299
   -2.149510763   -3.141592654   77.042881546  -13.953843978  -18.860982227
   -2.094395102   -3.141592654   76.296552686  -12.828239420  -19.235989057
   -2.039279442   -3.141592654   75.626409045  -11.209454194  -19.556766286
   -1.984163781   -3.141592654   75.046490466   -9.490108873  -19.775611020
   -1.929048121   -3.141592654   74.570500710   -7.730199016  -20.071476731
   -1.873932460   -3.141592654   74.179742639   -6.367855684  -20.318223773
   -1.818816799   -3.141592654   73.846242772   -5.629265639  -20.637449576
   -1.763701139   -3.141592654   73.538095461   -5.432209784  -21.014645334
   -1.708585478   -3.141592654   73.227474085   -5.633751980  -21.434173206
   -1.653469818   -3.141592654   72.883651109   -6.379178522  -21.953509349
   -1.598354157   -3.141592654   72.486063629   -7.536139746  -22.545203864
   -1.543238497   -3.141592654   72.020339166   -8.917886863  -23.302835853
   -1.488122836   -3.141592654   71.473042690  -10.611876649  -24.263970096
   -1.433007175   -3.141592654   70.815635177  -12.579679536  -25.419010015
   -1.377891515   -3.141592654   70.043803642  -15.238316205  -26.758256485
   -1.322775854   -3.141592654   69.103859444  -18.317214840  -28.353352562
   -1.267660194   -3.141592654   67.971690010  -22.265881861  -30.138444912
   -1.212544533   -3.141592654   66.597552820  -26.869449918  -32.084597055
   -1.157428872   -3.141592654   64.962617453  -32.168333901  -34.142984385
   -1.102313212   -3.141592654   63.019433940  -37.749359269  -36.283406203
   -1.047197551   -3.141592654   60.763507508  -43.437991471  -38.424479862
   -0.992081891   -3.141592654   58.191570153  -49.050688363  -40.379917788
   -0.936966230   -3.141592654   55.336451478  -54.112128780  -42.166929920
   -0.881850569   -3.141592654   52.219312061  -58.263668615  -43.617829283
   -0.826734909   -3.141592654   48.887855225  -61.358904449  -44.649837455
   -0.771619248   -3.141592654   45.426882623  -63.328427113  -45.275592188
   -0.716503588   -3.141592654   41.889033035  -64.125686849  -45.456768687
   -0.661387927   -3.141592654   38.333777142  -63.744708303  -45.129069596
   -0.606272266   -3.141592654   34.839152973  -62.410534930  -44.308790297
   -0.551156606   -3.141592654   31.439279474  -60.133107990  -43.035438264
   -0.496040945   -3.141592654   28.206428617  -56.934279726  -41.267479650
   -0.440925285   -3.141592654   25.166546892  -53.042216323  -39.078194476
   -0.385809624   -3.141592654   22.346253837  -48.326973221  -36.510917334
   -0.330693964   -3.141592654   19.824340817  -43.176958109  -33.592048663
   -0.275578303   -3.141592654   17.599893476  -37.457787049  -30.360185866
   -0.220462642   -3.141592654   15.699021091  -31.307665341  -26.912316444
   -0.165346982   -3.141592654   14.141228203  -24.673678833  -23.234987054
   -0.110231321   -3.141592654   12.969055722  -17.621389712  -19.357406332
   -0.055115661   -3.141592654   12.199073437  -10.094172580  -15.326495239
    0.000000000   -3.141592654   11.857568365   -2.104587683  -11.151404292
    0.055115661   -3.141592654   11.971817408    6.392285362   -6.848669645
    0.110231321   -3.141592654   12.577473509   15.273755444   -2.472226202
    0.165346982   -3.141592654   13.677196092   24.386445321    1.895225977
    0.220462642   -3.141592654   15.282629137   33.579310042    6.159345607
    0.275578303   -3.141592654   17.374719104   42.234225961   10.181673395
    0.330693964   -3.141592654   19.930772301   50.132447697   13.917103218
    0.385809624   -3.141592654   22.887860782   56.864605499   17.216352841
    0.440925285   -3.141592654   26.169780803   61.950704459   19.937996374
    0.496040945   -3.141592654   29.700390556   65.196286730   22.101471197
    0.551156606   -3.141592654   33.336906852   66.388045900   23.559474590
    0.606272266   -3.141592654   36.988339578   65.363536986   24.388623099
    0.661387927   -3.141592654   40.524883774   62.302921266   24.559052768
    0.716503588   -3.141592654   43.847171500   57.473118415   24.140654255
    0.771619248   -3.141592654   46.839969750   50.971575992   23.232461315
    0.826734909   -3.141592654   49.438812820   43.134142052   21.900694750
    0.881850569   -3.141592654   51.585390138   34.313704022   20.202675753
    0.936966230   -3.141592654   53.222325204   25.029274464   18.328256816
    0.992081891   -3.141592654   54.338361154   15.414404446   16.286399444
    1.047197551   -3.141592654   54.928742486    6.012048464   14.146569585
    1.102313212   -3.141592654   55.000619642   -3.098492061   12.044064554
