#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  475
#! SET periodic_phi true
   -3.141592654   60.724059301   42.197191176
   -3.128364895   61.305881732   45.067856004
   -3.115137137   61.930769899   47.978959610
   -3.101909378   62.582734723   49.799219948
   -3.088681619   63.249200984   50.455369307
   -3.075453861   63.919779236   50.264995684
   -3.062226102   64.572406234   48.839767037
   -3.048998344   65.205262284   46.258943233
   -3.035770585   65.808244504   43.256732375
   -3.022542827   66.358903557   39.482409642
   -3.009315068   66.858755078   35.512340973
   -2.996087310   67.306736643   32.273742877
   -2.982859551   67.711616864   29.042858656
   -2.969631793   68.080058811   26.826592516
   -2.956404034   68.429548154   25.513160346
   -2.943176275   68.761989819   25.705864576
   -2.929948517   69.108047876   25.962442131
   -2.916720758   69.460302269   26.885277376
   -2.903493000   69.824757901   27.338976175
   -2.890265241   70.190184427   27.233332734
   -2.877037483   70.543020466   26.331172751
   -2.863809724   70.879128493   24.658342409
   -2.850581966   71.193513655   22.005780100
   -2.837354207   71.464618895   18.702127227
   -2.824126449   71.695948822   15.871153416
   -2.810898690   71.888318671   13.013259900
   -2.797670932   72.048740562   10.846575024
   -2.784443173   72.177759758    9.291091533
   -2.771215414   72.291314062    8.785294597
   -2.757987656   72.416118155    9.444644202
   -2.744759897   72.554907396   11.328091353
   -2.731532139   72.725654859   13.923733027
   -2.718304380   72.922517399   16.273700418
   -2.705076622   73.154202114   17.923350507
   -2.691848863   73.394899453   17.784843958
   -2.678621105   73.620116918   15.960154538
   -2.665393346   73.810415713   12.440276930
   -2.652165588   73.944291790    8.215240901
   -2.638937829   74.022758863    3.138174369
   -2.625710070   74.036788097   -0.763438847
   -2.612482312   74.014705972   -3.120145365
   -2.599254553   73.969359845   -3.717414072
   -2.586026795   73.926331861   -2.490383177
   -2.572799036   73.903451763    0.033323214
   -2.559571278   73.930385940    3.139078885
   -2.546343519   73.989419914    5.424206502
   -2.533115761   74.065195474    7.129176513
   -2.519888002   74.167961138    6.954891271
   -2.506660244   74.249724828    5.807516279
   -2.493432485   74.313540503    3.818775504
   -2.480204727   74.354926206    1.747643037
   -2.466976968   74.371358752    0.491228993
   -2.453749209   74.371227048   -0.508183320
   -2.440521451   74.355845754   -1.193398092
   -2.427293692   74.336167792   -1.707490118
   -2.414065934   74.310279829   -2.285517332
   -2.400838175   74.269172273   -3.497857662
   -2.387610417   74.211108460   -4.740937188
   -2.374382658   74.145748469   -5.865912708
   -2.361154900   74.059164339   -6.716152780
   -2.347927141   73.971171853   -6.981109011
   -2.334699383   73.879227208   -6.470749849
   -2.321471624   73.797153609   -6.436064808
   -2.308243865   73.718704779   -6.329386562
   -2.295016107   73.629406453   -6.470145157
   -2.281788348   73.534458591   -7.575087357
   -2.268560590   73.417262194   -9.296838492
   -2.255332831   73.282158352  -11.676433604
   -2.242105073   73.109959913  -13.532837594
   -2.228877314   72.918405863  -15.029969048
   -2.215649556   72.720906772  -15.472471281
   -2.202421797   72.522816106  -14.297551645
   -2.189194039   72.348275091  -12.145062703
   -2.175966280   72.200131979   -9.554272255
   -2.162738522   72.091920903   -6.616467702
   -2.149510763   72.017014144   -4.261340701
   -2.136283004   71.970371567   -3.410172590
   -2.123055246   71.925074843   -3.375829459
   -2.109827487   71.873616437   -4.521530709
   -2.096599729   71.807297332   -5.545358538
   -2.083371970   71.726096939   -6.658230577
   -2.070144212   71.632229681   -7.580545261
   -2.056916453   71.529789095   -7.609702055
   -2.043688695   71.434071432   -7.178056918
   -2.030460936   71.344053676   -6.548336452
   -2.017233178   71.264715171   -5.333769178
   -2.004005419   71.200278754   -3.797811858
   -1.990777660   71.155799893   -2.668044392
   -1.977549902   71.130063194   -1.461785618
   -1.964322143   71.118499333   -0.322324987
   -1.951094385   71.126163193    1.076887173
   -1.937866626   71.147704189    1.792818197
   -1.924638868   71.176682779    2.438849382
   -1.911411109   71.208385799    2.758613896
   -1.898183351   71.248693494    3.069684016
   -1.884955592   71.284966323    2.785903125
   -1.871727834   71.318489347    2.425828563
   -1.858500075   71.346695673    1.930636808
   -1.845272317   71.373163250    1.972302830
   -1.832044558   71.400291643    2.532033182
   -1.818816799   71.441309055    3.853536387
   -1.805589041   71.508890208    6.080757520
   -1.792361282   71.605348747    8.647899146
   -1.779133524   71.738584707   11.629363046
   -1.765905765   71.914627259   14.196206276
   -1.752678007   72.113058146   15.640418877
   -1.739450248   72.327026812   16.218269440
   -1.726222490   72.538786286   15.495282688
   -1.712994731   72.733073439   13.497405129
   -1.699766973   72.895794703   11.164271139
   -1.686539214   73.022239538    8.215559541
   -1.673311455   73.114940563    6.060059240
   -1.660083697   73.189930468    4.940445559
   -1.646855938   73.260006553    4.833059686
   -1.633628180   73.329457243    6.234339775
   -1.620400421   73.421464471    8.208044379
   -1.607172663   73.550184390   10.656998487
   -1.593944904   73.702729585   13.049913578
   -1.580717146   73.888291290   14.961303053
   -1.567489387   74.093264231   15.706249017
   -1.554261629   74.301301120   15.858164474
   -1.541033870   74.517047836   15.483735547
   -1.527806112   74.720213741   14.706099355
   -1.514578353   74.907309316   13.720099089
   -1.501350594   75.079259979   12.847403334
   -1.488122836   75.242565930   12.153986271
   -1.474895077   75.396678535   11.171593167
   -1.461667319   75.535582021    9.955107808
   -1.448439560   75.663684623    8.204141708
   -1.435211802   75.756664574    5.969320557
   -1.421984043   75.821787875    3.454458388
   -1.408756285   75.846257681    0.422937586
   -1.395528526   75.832117865   -2.687420428
   -1.382300768   75.775531179   -5.517705229
